rgov_t,rgov_t+1,rgov_t+2,rgov_t+3,rgov_t+4,rgov_t+5,rgov_t+6,rgov_t+7,rgov_t+8,rgov_t+9,rgov_t+10,rgov_t+11,rgov_t+12,rgov_t+13,rgov_t+14,rgov_t+15,rgov_t+16,rgov_t+17,rgov_t+18,rgov_t+19,rgov_t+20,rgdp_t,rgdp_t+1,rgdp_t+2,rgdp_t+3,rgdp_t+4,rgdp_t+5,rgdp_t+6,rgdp_t+7,rgdp_t+8,rgdp_t+9,rgdp_t+10,rgdp_t+11,rgdp_t+12,rgdp_t+13,rgdp_t+14,rgdp_t+15,rgdp_t+16,rgdp_t+17,rgdp_t+18,rgdp_t+19,rgdp_t+20,constant,news_shock_t,news_shock_t-1,rgdp_t-1,rgov_t-1,news_shock_t-2,rgdp_t-2,rgov_t-2,news_shock_t-3,rgdp_t-3,rgov_t-3,news_shock_t-4,rgdp_t-4,rgov_t-4
0.053071234,0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.859878609,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,1,0,0,0.874846648,0.051705625,0,0.922001853,0.052740402,0,1.017060873,0.054719033,0,1.030765177,0.055190853
0.055238315,0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.847306157,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,1,0,0,0.859878609,0.053071234,0,0.874846648,0.051705625,0,0.922001853,0.052740402,0,1.017060873,0.054719033
0.054429463,0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.871807156,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,1,0,0,0.847306157,0.055238315,0,0.859878609,0.053071234,0,0.874846648,0.051705625,0,0.922001853,0.052740402
0.053693287,0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.909696096,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,1,0,0,0.871807156,0.054429463,0,0.847306157,0.055238315,0,0.859878609,0.053071234,0,0.874846648,0.051705625
0.05562924,0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.932251412,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,1,0,0,0.909696096,0.053693287,0,0.871807156,0.054429463,0,0.847306157,0.055238315,0,0.859878609,0.053071234
0.054139063,0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.952009856,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,1,0,0,0.932251412,0.05562924,0,0.909696096,0.053693287,0,0.871807156,0.054429463,0,0.847306157,0.055238315
0.053973708,0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.985209488,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,1,0,0,0.952009856,0.054139063,0,0.932251412,0.05562924,0,0.909696096,0.053693287,0,0.871807156,0.054429463
0.053243407,0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,1.000763695,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1,0,0,0.985209488,0.053973708,0,0.952009856,0.054139063,0,0.932251412,0.05562924,0,0.909696096,0.053693287
0.052799512,0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,0.066116646,0.951938308,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1.023814377,1,0,0,1.000763695,0.053243407,0,0.985209488,0.053973708,0,0.952009856,0.054139063,0,0.932251412,0.05562924
0.051711543,0.056116067,0.054519439,0.056142229,0.056164598,0.057163579,0.053215261,0.050846422,0.068343935,0.074299504,0.066603988,0.069959916,0.070013408,0.061664542,0.061271906,0.057256231,0.062010347,0.067549406,0.067983168,0.066116646,0.065173177,0.932005884,0.905917566,0.882266644,0.9167484,0.921646347,0.949327962,0.954268192,0.946955813,0.929529589,0.916620728,0.921615148,0.978144722,0.977162082,0.992239742,0.997432552,0.980354199,0.978727013,0.970707626,0.965883142,1.023814377,1.061907656,1,0,0,0.951938308,0.052799512,0,1.000763695,0.053243407,0,0.985209488,0.053973708,0,0.952009856,0.054139063
